k;b;psi_s;phi;Sr_l;Sr_g
6.484375E-14;6.187500E+00;-1.234375E-01;4.671875E-01;1.695313E-01;1.882813E-01
5.398437E-13;4.187500E+00;-3.734375E-01;4.171875E-01;9.453125E-02;1.132812E-01
3.023437E-13;3.187500E+00;-2.484375E-01;4.421875E-01;1.320313E-01;7.578125E-02
7.773438E-13;5.187500E+00;-4.984375E-01;4.921875E-01;5.703125E-02;1.507813E-01
1.835937E-13;4.687500E+00;-5.609375E-01;4.296875E-01;1.132812E-01;1.695313E-01
6.585938E-13;6.687500E+00;-3.109375E-01;4.796875E-01;1.882813E-01;9.453125E-02
4.210938E-13;5.687500E+00;-4.359375E-01;4.546875E-01;7.578125E-02;5.703125E-02
8.960938E-13;3.687500E+00;-1.859375E-01;4.046875E-01;1.507813E-01;1.320313E-01
1.242188E-13;3.937500E+00;-4.671875E-01;4.984375E-01;1.976563E-01;1.976563E-01
5.992188E-13;5.937500E+00;-2.171875E-01;4.484375E-01;1.226563E-01;1.226563E-01
3.617188E-13;6.937500E+00;-5.921875E-01;4.234375E-01;1.601562E-01;8.515625E-02
8.367187E-13;4.937500E+00;-3.421875E-01;4.734375E-01;8.515625E-02;1.601562E-01
2.429688E-13;5.437500E+00;-2.796875E-01;4.109375E-01;1.039063E-01;1.789063E-01
7.179688E-13;3.437500E+00;-5.296875E-01;4.609375E-01;1.789063E-01;1.039063E-01
4.804688E-13;4.437500E+00;-1.546875E-01;4.859375E-01;6.640625E-02;6.640625E-02
9.554688E-13;6.437500E+00;-4.046875E-01;4.359375E-01;1.414063E-01;1.414063E-01
9.453125E-14;4.062500E+00;-2.953125E-01;4.578125E-01;1.554688E-01;1.460937E-01
5.695313E-13;6.062500E+00;-5.453125E-01;4.078125E-01;8.046875E-02;7.109375E-02
3.320313E-13;5.062500E+00;-1.703125E-01;4.328125E-01;1.929688E-01;1.085938E-01
8.070313E-13;3.062500E+00;-4.203125E-01;4.828125E-01;1.179688E-01;1.835938E-01
2.132813E-13;6.562500E+00;-3.578125E-01;4.453125E-01;6.171875E-02;1.273438E-01
6.882812E-13;4.562500E+00;-1.078125E-01;4.953125E-01;1.367188E-01;5.234375E-02
4.507813E-13;3.562500E+00;-4.828125E-01;4.703125E-01;9.921875E-02;8.984375E-02
9.257813E-13;5.562500E+00;-2.328125E-01;4.203125E-01;1.742188E-01;1.648438E-01
1.539063E-13;5.812500E+00;-5.140625E-01;4.765625E-01;1.273438E-01;1.554688E-01
6.289063E-13;3.812500E+00;-2.640625E-01;4.265625E-01;5.234375E-02;8.046875E-02
3.914063E-13;4.812500E+00;-3.890625E-01;4.015625E-01;1.648438E-01;1.179688E-01
8.664062E-13;6.812500E+00;-1.390625E-01;4.515625E-01;8.984375E-02;1.929688E-01
2.726563E-13;3.312500E+00;-2.015625E-01;4.140625E-01;7.109375E-02;1.367188E-01
7.476563E-13;5.312500E+00;-4.515625E-01;4.640625E-01;1.460937E-01;6.171875E-02
5.101562E-13;6.312500E+00;-3.265625E-01;4.890625E-01;1.085938E-01;9.921875E-02
9.851563E-13;4.312500E+00;-5.765625E-01;4.390625E-01;1.835938E-01;1.742188E-01
5.742188E-14;5.656250E+00;-3.382812E-01;4.382813E-01;1.964844E-01;7.929688E-02
5.324219E-13;3.656250E+00;-5.882812E-01;4.882812E-01;1.214844E-01;1.542969E-01
2.949219E-13;4.656250E+00;-2.132812E-01;4.632812E-01;1.589844E-01;1.917969E-01
7.699219E-13;6.656250E+00;-4.632812E-01;4.132813E-01;8.398438E-02;1.167969E-01
1.761719E-13;3.156250E+00;-4.007812E-01;4.507813E-01;1.027344E-01;6.054688E-02
6.511719E-13;5.156250E+00;-1.507812E-01;4.007813E-01;1.777344E-01;1.355469E-01
4.136719E-13;6.156250E+00;-5.257812E-01;4.257812E-01;6.523437E-02;1.730469E-01
8.886719E-13;4.156250E+00;-2.757812E-01;4.757812E-01;1.402344E-01;9.804688E-02
1.167969E-13;4.406250E+00;-4.945312E-01;4.195313E-01;1.683594E-01;6.992188E-02
5.917969E-13;6.406250E+00;-2.445312E-01;4.695313E-01;9.335938E-02;1.449219E-01
3.542969E-13;5.406250E+00;-3.695312E-01;4.945312E-01;1.308594E-01;1.824219E-01
8.292969E-13;3.406250E+00;-1.195312E-01;4.445312E-01;5.585938E-02;1.074219E-01
2.355469E-13;6.906250E+00;-1.820312E-01;4.820313E-01;1.121094E-01;5.117188E-02
7.105469E-13;4.906250E+00;-4.320312E-01;4.320313E-01;1.871094E-01;1.261719E-01
4.730469E-13;3.906250E+00;-3.070312E-01;4.070313E-01;7.460938E-02;1.636719E-01
9.480469E-13;5.906250E+00;-5.570312E-01;4.570312E-01;1.496094E-01;8.867188E-02
8.710937E-14;3.531250E+00;-1.351562E-01;4.351563E-01;1.261719E-01;1.214844E-01
5.621094E-13;5.531250E+00;-3.851562E-01;4.851563E-01;5.117188E-02;1.964844E-01
3.246094E-13;6.531250E+00;-2.601562E-01;4.601562E-01;1.636719E-01;1.589844E-01
7.996094E-13;4.531250E+00;-5.101562E-01;4.101562E-01;8.867188E-02;8.398438E-02
2.058594E-13;5.031250E+00;-5.726562E-01;4.726562E-01;6.992188E-02;1.027344E-01
6.808594E-13;3.031250E+00;-3.226562E-01;4.226563E-01;1.449219E-01;1.777344E-01
4.433594E-13;4.031250E+00;-4.476562E-01;4.476563E-01;1.074219E-01;1.402344E-01
9.183594E-13;6.031250E+00;-1.976562E-01;4.976563E-01;1.824219E-01;6.523437E-02
1.464844E-13;6.281250E+00;-4.164062E-01;4.039063E-01;1.542969E-01;1.121094E-01
6.214844E-13;4.281250E+00;-1.664062E-01;4.539063E-01;7.929688E-02;1.871094E-01
3.839844E-13;3.281250E+00;-5.414062E-01;4.789062E-01;1.917969E-01;1.496094E-01
8.589844E-13;5.281250E+00;-2.914062E-01;4.289063E-01;1.167969E-01;7.460938E-02
2.652344E-13;4.781250E+00;-2.289062E-01;4.914062E-01;6.054688E-02;9.335938E-02
7.402344E-13;6.781250E+00;-4.789062E-01;4.414062E-01;1.355469E-01;1.683594E-01
5.027344E-13;5.781250E+00;-1.039062E-01;4.164063E-01;9.804688E-02;1.308594E-01
9.777344E-13;3.781250E+00;-3.539062E-01;4.664063E-01;1.730469E-01;5.585938E-02
7.226563E-14;4.593750E+00;-3.773437E-01;4.804688E-01;8.164063E-02;1.800781E-01
5.472656E-13;6.593750E+00;-1.273437E-01;4.304688E-01;1.566406E-01;1.050781E-01
3.097656E-13;5.593750E+00;-5.023437E-01;4.054688E-01;1.191406E-01;6.757813E-02
7.847656E-13;3.593750E+00;-2.523437E-01;4.554688E-01;1.941406E-01;1.425781E-01
1.910156E-13;6.093750E+00;-3.148437E-01;4.179688E-01;1.378906E-01;1.988281E-01
6.660156E-13;4.093750E+00;-5.648437E-01;4.679687E-01;6.289063E-02;1.238281E-01
4.285156E-13;3.093750E+00;-1.898437E-01;4.929688E-01;1.753906E-01;8.632813E-02
9.035156E-13;5.093750E+00;-4.398437E-01;4.429688E-01;1.003906E-01;1.613281E-01
1.316406E-13;5.343750E+00;-2.210937E-01;4.617188E-01;5.351563E-02;1.707031E-01
6.066406E-13;3.343750E+00;-4.710937E-01;4.117188E-01;1.285156E-01;9.570312E-02
3.691406E-13;4.343750E+00;-3.460937E-01;4.367188E-01;9.101563E-02;5.820313E-02
8.441406E-13;6.343750E+00;-5.960937E-01;4.867187E-01;1.660156E-01;1.332031E-01
2.503906E-13;3.843750E+00;-5.335937E-01;4.492188E-01;1.472656E-01;1.894531E-01
7.253906E-13;5.843750E+00;-2.835937E-01;4.992187E-01;7.226562E-02;1.144531E-01
4.878906E-13;6.843750E+00;-4.085937E-01;4.742188E-01;1.847656E-01;7.695313E-02
9.628906E-13;4.843750E+00;-1.585937E-01;4.242188E-01;1.097656E-01;1.519531E-01
1.019531E-13;6.718750E+00;-5.492187E-01;4.960938E-01;9.570312E-02;1.378906E-01
5.769531E-13;4.718750E+00;-2.992187E-01;4.460938E-01;1.707031E-01;6.289063E-02
3.394531E-13;3.718750E+00;-4.242187E-01;4.210938E-01;5.820313E-02;1.003906E-01
8.144531E-13;5.718750E+00;-1.742187E-01;4.710937E-01;1.332031E-01;1.753906E-01
2.207031E-13;4.218750E+00;-1.117187E-01;4.085938E-01;1.894531E-01;1.566406E-01
6.957031E-13;6.218750E+00;-3.617187E-01;4.585938E-01;1.144531E-01;8.164063E-02
4.582031E-13;5.218750E+00;-2.367187E-01;4.835937E-01;1.519531E-01;1.191406E-01
9.332031E-13;3.218750E+00;-4.867187E-01;4.335938E-01;7.695313E-02;1.941406E-01
1.613281E-13;3.468750E+00;-2.679687E-01;4.648438E-01;1.238281E-01;1.285156E-01
6.363281E-13;5.468750E+00;-5.179687E-01;4.148438E-01;1.988281E-01;5.351563E-02
3.988281E-13;6.468750E+00;-1.429687E-01;4.398438E-01;8.632813E-02;9.101563E-02
8.738281E-13;4.468750E+00;-3.929687E-01;4.898438E-01;1.613281E-01;1.660156E-01
2.800781E-13;5.968750E+00;-4.554687E-01;4.273438E-01;1.800781E-01;1.472656E-01
7.550781E-13;3.968750E+00;-2.054687E-01;4.773438E-01;1.050781E-01;7.226562E-02
5.175781E-13;4.968750E+00;-5.804687E-01;4.523437E-01;1.425781E-01;1.097656E-01
9.925781E-13;6.968750E+00;-3.304687E-01;4.023438E-01;6.757813E-02;1.847656E-01
5.371094E-14;6.984375E+00;-4.457031E-01;4.574219E-01;1.326172E-01;1.021484E-01
5.287109E-13;4.984375E+00;-1.957031E-01;4.074219E-01;5.761719E-02;1.771484E-01
2.912109E-13;3.984375E+00;-5.707031E-01;4.324219E-01;1.701172E-01;1.396484E-01
7.662109E-13;5.984375E+00;-3.207031E-01;4.824219E-01;9.511719E-02;6.464844E-02
1.724609E-13;4.484375E+00;-2.582031E-01;4.449219E-01;7.636719E-02;1.208984E-01
6.474609E-13;6.484375E+00;-5.082031E-01;4.949219E-01;1.513672E-01;1.958984E-01
4.099609E-13;5.484375E+00;-1.332031E-01;4.699219E-01;1.138672E-01;1.583984E-01
8.849609E-13;3.484375E+00;-3.832031E-01;4.199219E-01;1.888672E-01;8.339844E-02
1.130859E-13;3.234375E+00;-1.019531E-01;4.761719E-01;1.607422E-01;9.277344E-02
5.880859E-13;5.234375E+00;-3.519531E-01;4.261719E-01;8.574219E-02;1.677734E-01
3.505859E-13;6.234375E+00;-2.269531E-01;4.011719E-01;1.982422E-01;1.302734E-01
8.255859E-13;4.234375E+00;-4.769531E-01;4.511719E-01;1.232422E-01;5.527344E-02
2.318359E-13;5.734375E+00;-5.394531E-01;4.136719E-01;6.699219E-02;1.115234E-01
7.068359E-13;3.734375E+00;-2.894531E-01;4.636719E-01;1.419922E-01;1.865234E-01
4.693359E-13;4.734375E+00;-4.144531E-01;4.886719E-01;1.044922E-01;1.490234E-01
9.443359E-13;6.734375E+00;-1.644531E-01;4.386719E-01;1.794922E-01;7.402344E-02
8.339844E-14;4.859375E+00;-5.238281E-01;4.667969E-01;1.935547E-01;5.996094E-02
5.583984E-13;6.859375E+00;-2.738281E-01;4.167969E-01;1.185547E-01;1.349609E-01
3.208984E-13;5.859375E+00;-3.988281E-01;4.417969E-01;1.560547E-01;1.724609E-01
7.958984E-13;3.859375E+00;-1.488281E-01;4.917969E-01;8.105469E-02;9.746094E-02
2.021484E-13;6.359375E+00;-2.113281E-01;4.292969E-01;9.980469E-02;7.871094E-02
6.771484E-13;4.359375E+00;-4.613281E-01;4.792969E-01;1.748047E-01;1.537109E-01
4.396484E-13;3.359375E+00;-3.363281E-01;4.542969E-01;6.230469E-02;1.912109E-01
9.146484E-13;5.359375E+00;-5.863281E-01;4.042969E-01;1.373047E-01;1.162109E-01
1.427734E-13;5.109375E+00;-3.050781E-01;4.980469E-01;1.654297E-01;5.058594E-02
6.177734E-13;3.109375E+00;-5.550781E-01;4.480469E-01;9.042969E-02;1.255859E-01
3.802734E-13;4.109375E+00;-1.800781E-01;4.230469E-01;1.279297E-01;1.630859E-01
8.552734E-13;6.109375E+00;-4.300781E-01;4.730469E-01;5.292969E-02;8.808594E-02
2.615234E-13;3.609375E+00;-3.675781E-01;4.105469E-01;1.091797E-01;6.933594E-02
7.365234E-13;5.609375E+00;-1.175781E-01;4.605469E-01;1.841797E-01;1.443359E-01
4.990234E-13;6.609375E+00;-4.925781E-01;4.855469E-01;7.167969E-02;1.818359E-01
9.740234E-13;4.609375E+00;-2.425781E-01;4.355469E-01;1.466797E-01;1.068359E-01
6.855469E-14;3.796875E+00;-2.347656E-01;4.246094E-01;8.808594E-02;1.560547E-01
5.435547E-13;5.796875E+00;-4.847656E-01;4.746094E-01;1.630859E-01;8.105469E-02
3.060547E-13;6.796875E+00;-1.097656E-01;4.996094E-01;5.058594E-02;1.185547E-01
7.810547E-13;4.796875E+00;-3.597656E-01;4.496094E-01;1.255859E-01;1.935547E-01
1.873047E-13;5.296875E+00;-4.222656E-01;4.871094E-01;1.818359E-01;1.373047E-01
6.623047E-13;3.296875E+00;-1.722656E-01;4.371094E-01;1.068359E-01;6.230469E-02
4.248047E-13;4.296875E+00;-5.472656E-01;4.121094E-01;1.443359E-01;9.980469E-02
8.998047E-13;6.296875E+00;-2.972656E-01;4.621094E-01;6.933594E-02;1.748047E-01
1.279297E-13;6.046875E+00;-5.785156E-01;4.433594E-01;1.162109E-01;1.466797E-01
6.029297E-13;4.046875E+00;-3.285156E-01;4.933594E-01;1.912109E-01;7.167969E-02
3.654297E-13;3.046875E+00;-4.535156E-01;4.683594E-01;7.871094E-02;1.091797E-01
8.404297E-13;5.046875E+00;-2.035156E-01;4.183594E-01;1.537109E-01;1.841797E-01
2.466797E-13;4.546875E+00;-1.410156E-01;4.558594E-01;1.724609E-01;1.279297E-01
7.216797E-13;6.546875E+00;-3.910156E-01;4.058594E-01;9.746094E-02;5.292969E-02
4.841797E-13;5.546875E+00;-2.660156E-01;4.308594E-01;1.349609E-01;9.042969E-02
9.591797E-13;3.546875E+00;-5.160156E-01;4.808594E-01;5.996094E-02;1.654297E-01
9.824219E-14;5.921875E+00;-1.878906E-01;4.027344E-01;8.339844E-02;1.982422E-01
5.732422E-13;3.921875E+00;-4.378906E-01;4.527344E-01;1.583984E-01;1.232422E-01
3.357422E-13;4.921875E+00;-3.128906E-01;4.777344E-01;1.208984E-01;8.574219E-02
8.107422E-13;6.921875E+00;-5.628906E-01;4.277344E-01;1.958984E-01;1.607422E-01
2.169922E-13;3.421875E+00;-5.003906E-01;4.902344E-01;1.396484E-01;1.794922E-01
6.919922E-13;5.421875E+00;-2.503906E-01;4.402344E-01;6.464844E-02;1.044922E-01
4.544922E-13;6.421875E+00;-3.753906E-01;4.152344E-01;1.771484E-01;6.699219E-02
9.294922E-13;4.421875E+00;-1.253906E-01;4.652344E-01;1.021484E-01;1.419922E-01
1.576172E-13;4.171875E+00;-4.066406E-01;4.339844E-01;5.527344E-02;1.888672E-01
6.326172E-13;6.171875E+00;-1.566406E-01;4.839844E-01;1.302734E-01;1.138672E-01
3.951172E-13;5.171875E+00;-5.316406E-01;4.589844E-01;9.277344E-02;7.636719E-02
8.701172E-13;3.171875E+00;-2.816406E-01;4.089844E-01;1.677734E-01;1.513672E-01
2.763672E-13;6.671875E+00;-3.441406E-01;4.714844E-01;1.490234E-01;1.701172E-01
7.513672E-13;4.671875E+00;-5.941406E-01;4.214844E-01;7.402344E-02;9.511719E-02
5.138672E-13;3.671875E+00;-2.191406E-01;4.464844E-01;1.865234E-01;5.761719E-02
9.888672E-13;5.671875E+00;-4.691406E-01;4.964844E-01;1.115234E-01;1.326172E-01
6.113281E-14;4.328125E+00;-2.074219E-01;4.941406E-01;1.197266E-01;1.126953E-01
5.361328E-13;6.328125E+00;-4.574219E-01;4.441406E-01;1.947266E-01;1.876953E-01
2.986328E-13;5.328125E+00;-3.324219E-01;4.191406E-01;8.222656E-02;1.501953E-01
7.736328E-13;3.328125E+00;-5.824219E-01;4.691406E-01;1.572266E-01;7.519531E-02
1.798828E-13;6.828125E+00;-5.199219E-01;4.066406E-01;1.759766E-01;9.394531E-02
6.548828E-13;4.828125E+00;-2.699219E-01;4.566406E-01;1.009766E-01;1.689453E-01
4.173828E-13;3.828125E+00;-3.949219E-01;4.816406E-01;1.384766E-01;1.314453E-01
8.923828E-13;5.828125E+00;-1.449219E-01;4.316406E-01;6.347656E-02;5.644531E-02
1.205078E-13;5.578125E+00;-3.636719E-01;4.628906E-01;9.160156E-02;1.220703E-01
5.955078E-13;3.578125E+00;-1.136719E-01;4.128906E-01;1.666016E-01;1.970703E-01
3.580078E-13;4.578125E+00;-4.886719E-01;4.378906E-01;5.410156E-02;1.595703E-01
8.330078E-13;6.578125E+00;-2.386719E-01;4.878906E-01;1.291016E-01;8.457031E-02
2.392578E-13;3.078125E+00;-3.011719E-01;4.253906E-01;1.853516E-01;1.033203E-01
7.142578E-13;5.078125E+00;-5.511719E-01;4.753906E-01;1.103516E-01;1.783203E-01
4.767578E-13;6.078125E+00;-1.761719E-01;4.503906E-01;1.478516E-01;1.408203E-01
9.517578E-13;4.078125E+00;-4.261719E-01;4.003906E-01;7.285156E-02;6.582031E-02
9.082031E-14;6.453125E+00;-2.855469E-01;4.785156E-01;5.878906E-02;7.050781E-02
5.658203E-13;4.453125E+00;-5.355469E-01;4.285156E-01;1.337891E-01;1.455078E-01
3.283203E-13;3.453125E+00;-1.605469E-01;4.035156E-01;9.628906E-02;1.830078E-01
8.033203E-13;5.453125E+00;-4.105469E-01;4.535156E-01;1.712891E-01;1.080078E-01
2.095703E-13;4.953125E+00;-4.730469E-01;4.160156E-01;1.525391E-01;5.175781E-02
6.845703E-13;6.953125E+00;-2.230469E-01;4.660156E-01;7.753906E-02;1.267578E-01
4.470703E-13;5.953125E+00;-5.980469E-01;4.910156E-01;1.900391E-01;1.642578E-01
9.220703E-13;3.953125E+00;-3.480469E-01;4.410156E-01;1.150391E-01;8.925781E-02
1.501953E-13;3.703125E+00;-5.667969E-01;4.597656E-01;8.691406E-02;7.988281E-02
6.251953E-13;5.703125E+00;-3.167969E-01;4.097656E-01;1.619141E-01;1.548828E-01
3.876953E-13;6.703125E+00;-4.417969E-01;4.347656E-01;1.244141E-01;1.923828E-01
8.626953E-13;4.703125E+00;-1.917969E-01;4.847656E-01;1.994141E-01;1.173828E-01
2.689453E-13;5.203125E+00;-1.292969E-01;4.472656E-01;1.431641E-01;6.113281E-02
7.439453E-13;3.203125E+00;-3.792969E-01;4.972656E-01;6.816406E-02;1.361328E-01
5.064453E-13;4.203125E+00;-2.542969E-01;4.722656E-01;1.806641E-01;1.736328E-01
9.814453E-13;6.203125E+00;-5.042969E-01;4.222656E-01;1.056641E-01;9.863281E-02
7.597656E-14;5.390625E+00;-4.808594E-01;4.363281E-01;1.595703E-01;1.291016E-01
5.509766E-13;3.390625E+00;-2.308594E-01;4.863281E-01;8.457031E-02;5.410156E-02
3.134766E-13;4.390625E+00;-3.558594E-01;4.613281E-01;1.970703E-01;9.160156E-02
7.884766E-13;6.390625E+00;-1.058594E-01;4.113281E-01;1.220703E-01;1.666016E-01
1.947266E-13;3.890625E+00;-1.683594E-01;4.738281E-01;6.582031E-02;1.478516E-01
6.697266E-13;5.890625E+00;-4.183594E-01;4.238281E-01;1.408203E-01;7.285156E-02
4.322266E-13;6.890625E+00;-2.933594E-01;4.488281E-01;1.033203E-01;1.103516E-01
9.072266E-13;4.890625E+00;-5.433594E-01;4.988281E-01;1.783203E-01;1.853516E-01
1.353516E-13;4.640625E+00;-3.246094E-01;4.050781E-01;1.314453E-01;1.384766E-01
6.103516E-13;6.640625E+00;-5.746094E-01;4.550781E-01;5.644531E-02;6.347656E-02
3.728516E-13;5.640625E+00;-1.996094E-01;4.800781E-01;1.689453E-01;1.009766E-01
8.478516E-13;3.640625E+00;-4.496094E-01;4.300781E-01;9.394531E-02;1.759766E-01
2.541016E-13;6.140625E+00;-3.871094E-01;4.925781E-01;7.519531E-02;1.572266E-01
7.291016E-13;4.140625E+00;-1.371094E-01;4.425781E-01;1.501953E-01;8.222656E-02
4.916016E-13;3.140625E+00;-5.121094E-01;4.175781E-01;1.126953E-01;1.197266E-01
9.666016E-13;5.140625E+00;-2.621094E-01;4.675781E-01;1.876953E-01;1.947266E-01
1.056641E-13;3.265625E+00;-4.339844E-01;4.394531E-01;1.642578E-01;1.712891E-01
5.806641E-13;5.265625E+00;-1.839844E-01;4.894531E-01;8.925781E-02;9.628906E-02
3.431641E-13;6.265625E+00;-5.589844E-01;4.644531E-01;1.267578E-01;5.878906E-02
8.181641E-13;4.265625E+00;-3.089844E-01;4.144531E-01;5.175781E-02;1.337891E-01
2.244141E-13;5.765625E+00;-2.464844E-01;4.519531E-01;1.080078E-01;1.900391E-01
6.994141E-13;3.765625E+00;-4.964844E-01;4.019531E-01;1.830078E-01;1.150391E-01
4.619141E-13;4.765625E+00;-1.214844E-01;4.269531E-01;7.050781E-02;7.753906E-02
9.369141E-13;6.765625E+00;-3.714844E-01;4.769531E-01;1.455078E-01;1.525391E-01
1.650391E-13;6.515625E+00;-1.527344E-01;4.207031E-01;1.923828E-01;1.806641E-01
6.400391E-13;4.515625E+00;-4.027344E-01;4.707031E-01;1.173828E-01;1.056641E-01
4.025391E-13;3.515625E+00;-2.777344E-01;4.957031E-01;1.548828E-01;6.816406E-02
8.775391E-13;5.515625E+00;-5.277344E-01;4.457031E-01;7.988281E-02;1.431641E-01
2.837891E-13;4.015625E+00;-5.902344E-01;4.832031E-01;9.863281E-02;1.994141E-01
7.587891E-13;6.015625E+00;-3.402344E-01;4.332031E-01;1.736328E-01;1.244141E-01
5.212891E-13;5.015625E+00;-4.652344E-01;4.082031E-01;6.113281E-02;8.691406E-02
9.962891E-13;3.015625E+00;-2.152344E-01;4.582031E-01;1.361328E-01;1.619141E-01
5.185547E-14;5.007812E+00;-1.458984E-01;4.857422E-01;1.018555E-01;1.440430E-01
5.268555E-13;3.007812E+00;-3.958984E-01;4.357422E-01;1.768555E-01;6.904297E-02
2.893555E-13;4.007812E+00;-2.708984E-01;4.107422E-01;6.435547E-02;1.065430E-01
7.643555E-13;6.007812E+00;-5.208984E-01;4.607422E-01;1.393555E-01;1.815430E-01
1.706055E-13;3.507812E+00;-5.833984E-01;4.232422E-01;1.956055E-01;1.252930E-01
6.456055E-13;5.507812E+00;-3.333984E-01;4.732422E-01;1.206055E-01;5.029297E-02
4.081055E-13;6.507812E+00;-4.583984E-01;4.982422E-01;1.581055E-01;8.779297E-02
8.831055E-13;4.507812E+00;-2.083984E-01;4.482422E-01;8.310547E-02;1.627930E-01
1.112305E-13;4.757812E+00;-4.271484E-01;4.544922E-01;1.112305E-01;1.534180E-01
5.862305E-13;6.757812E+00;-1.771484E-01;4.044922E-01;1.862305E-01;7.841797E-02
3.487305E-13;5.757812E+00;-5.521484E-01;4.294922E-01;7.373047E-02;1.159180E-01
8.237305E-13;3.757812E+00;-3.021484E-01;4.794922E-01;1.487305E-01;1.909180E-01
2.299805E-13;6.257812E+00;-2.396484E-01;4.419922E-01;1.674805E-01;1.346680E-01
7.049805E-13;4.257812E+00;-4.896484E-01;4.919922E-01;9.248047E-02;5.966797E-02
4.674805E-13;3.257812E+00;-1.146484E-01;4.669922E-01;1.299805E-01;9.716797E-02
9.424805E-13;5.257812E+00;-3.646484E-01;4.169922E-01;5.498047E-02;1.721680E-01
8.154297E-14;3.132812E+00;-3.490234E-01;4.888672E-01;6.904297E-02;1.862305E-01
5.565430E-13;5.132812E+00;-5.990234E-01;4.388672E-01;1.440430E-01;1.112305E-01
3.190430E-13;6.132812E+00;-2.240234E-01;4.138672E-01;1.065430E-01;7.373047E-02
7.940430E-13;4.132812E+00;-4.740234E-01;4.638672E-01;1.815430E-01;1.487305E-01
2.002930E-13;5.632812E+00;-4.115234E-01;4.013672E-01;1.252930E-01;1.674805E-01
6.752930E-13;3.632812E+00;-1.615234E-01;4.513672E-01;5.029297E-02;9.248047E-02
4.377930E-13;4.632812E+00;-5.365234E-01;4.763672E-01;1.627930E-01;5.498047E-02
9.127930E-13;6.632812E+00;-2.865234E-01;4.263672E-01;8.779297E-02;1.299805E-01
1.409180E-13;6.882812E+00;-5.052734E-01;4.701172E-01;5.966797E-02;1.956055E-01
6.159180E-13;4.882812E+00;-2.552734E-01;4.201172E-01;1.346680E-01;1.206055E-01
3.784180E-13;3.882812E+00;-3.802734E-01;4.451172E-01;9.716797E-02;8.310547E-02
8.534180E-13;5.882812E+00;-1.302734E-01;4.951172E-01;1.721680E-01;1.581055E-01
